,filename,gender label,sightengine label,sightengine male,sightengine female,rekognition label,rekognition male,rekognition female
0,26_1_1_20170117170703265.jpg.chip.jpg,1,Female,0.03,0.97,Female,0.32720947265625,99.67279052734375
1,18_1_1_20170113005321501.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.0552825927734375,99.94471740722656
2,26_1_1_20170116160247500.jpg.chip.jpg,1,Female,0.03,0.97,Female,0.3249053955078125,99.67509460449219
3,24_1_1_20170112230733998.jpg.chip.jpg,1,Female,0.05,0.95,Female,0.73333740234375,99.26666259765625
4,32_1_1_20170113000615118.jpg.chip.jpg,1,Female,0.04,0.96,Female,0.23932647705078125,99.76067352294922
5,24_1_1_20170115235630663.jpg.chip.jpg,1,Female,0.02,0.98,Female,0.5376815795898438,99.46231842041016
6,27_1_1_20170117013825934.jpg.chip.jpg,1,Female,0.01,0.99,Female,4.3716278076171875,95.62837219238281
7,34_1_1_20170116164035846.jpg.chip.jpg,1,Female,0.27,0.73,Female,2.5566482543945312,97.44335174560547
8,30_1_1_20170112231459398.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.037689208984375,99.96231079101562
9,31_1_1_20170116002105934.jpg.chip.jpg,1,Female,0.12,0.88,Female,2.7730789184570312,97.22692108154297
10,27_1_1_20170113001019472.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.6773529052734375,99.32264709472656
11,35_1_1_20170113011001766.jpg.chip.jpg,1,Female,0.06,0.94,Female,1.9731369018554688,98.02686309814453
12,32_1_1_20170112213013302.jpg.chip.jpg,1,Female,0.02,0.98,Female,0.7421493530273438,99.25785064697266
13,27_1_1_20170116023622621.jpg.chip.jpg,1,Female,0.17,0.83,Female,0.38901519775390625,99.6109848022461
14,26_1_1_20170114034141360.jpg.chip.jpg,1,Female,0.15,0.85,Female,2.1157913208007812,97.88420867919922
15,25_1_1_20170117014005144.jpg.chip.jpg,1,Female,0.11,0.89,Female,3.01434326171875,96.98565673828125
16,31_1_1_20170112231608655.jpg.chip.jpg,1,Female,0.08,0.92,Female,0.03771209716796875,99.96228790283203
17,26_1_1_20170116232809522.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.33355712890625,99.66644287109375
18,26_1_1_20170113012356872.jpg.chip.jpg,1,Female,0.07,0.93,Female,24.270492553710938,75.72950744628906
19,30_1_1_20170112215039472.jpg.chip.jpg,1,Female,0.02,0.98,Female,22.4002685546875,77.5997314453125
20,26_1_1_20170112211649085.jpg.chip.jpg,1,Female,0.05,0.95,Female,0.6079940795898438,99.39200592041016
21,22_1_1_20170114025247512.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.227508544921875,99.77249145507812
22,32_1_1_20170113000704411.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.24774932861328125,99.75225067138672
23,26_1_1_20170116012224668.jpg.chip.jpg,1,Female,0.03,0.97,Female,0.02288055419921875,99.97711944580078
24,34_1_1_20170117132708007.jpg.chip.jpg,1,Female,0.08,0.92,Female,0.32823944091796875,99.67176055908203
25,35_1_1_20170117142925468.jpg.chip.jpg,1,Female,0.07,0.93,Female,3.5049667358398438,96.49503326416016
26,26_1_1_20170113012034848.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.10987091064453125,99.89012908935547
27,26_1_1_20170116024221538.jpg.chip.jpg,1,Female,0.02,0.98,Female,1.1638259887695312,98.83617401123047
28,22_1_1_20170114031355312.jpg.chip.jpg,1,Female,0.01,0.99,Female,1.9101028442382812,98.08989715576172
29,26_1_1_20170117100117876.jpg.chip.jpg,1,Female,0.05,0.95,Female,0.1256103515625,99.8743896484375
30,26_1_1_20170116232824362.jpg.chip.jpg,1,Female,0.01,0.99,Female,2.5623779296875,97.4376220703125
31,28_1_1_20170112213628607.jpg.chip.jpg,1,Female,0.11,0.89,Female,3.2415847778320312,96.75841522216797
32,24_1_1_20170113003543637.jpg.chip.jpg,1,Female,0.11,0.89,Female,0.1621551513671875,99.83784484863281
33,23_1_1_20170112234052856.jpg.chip.jpg,1,Female,0.01,0.99,Female,0.16363525390625,99.83636474609375
34,26_1_1_20170116223407063.jpg.chip.jpg,1,Female,0.11,0.89,Female,0.295166015625,99.704833984375
35,35_1_1_20170112204427427.jpg.chip.jpg,1,Female,0.1,0.9,Female,0.5399703979492188,99.46002960205078
36,25_1_1_20170112230445064.jpg.chip.jpg,1,Female,0.21,0.79,Female,0.6645889282226562,99.33541107177734
37,21_1_1_20170116215855605.jpg.chip.jpg,1,Male,0.59,0.41,Female,0.7940444946289062,99.2059555053711
38,26_1_1_20170116154712959.jpg.chip.jpg,1,Male,0.56,0.44,Female,27.14466094970703,72.85533905029297
39,21_1_1_20170116020956813.jpg.chip.jpg,1,Female,0.15,0.85,Female,0.4879150390625,99.5120849609375
40,28_1_1_20170112222231219.jpg.chip.jpg,1,Female,0.03,0.97,Female,4.7671966552734375,95.23280334472656
41,25_1_1_20170112205043660.jpg.chip.jpg,1,Female,0.03,0.97,Female,4.537086486816406,95.4629135131836
42,27_1_1_20170116214220570.jpg.chip.jpg,1,Male,0.93,0.07,Female,38.31810760498047,61.68189239501953
